feature,importance
categorical__driverId_5,0.0018695655
categorical__driverId_17,0.0008642931
categorical__driver_name_Timo Glock,0.0
categorical__driver_name_Sébastien Buemi,0.0
categorical__driver_name_Sébastien Bourdais,0.0
categorical__constructor_name_Virgin,0.0
categorical__constructor_name_Minardi,0.0
categorical__constructor_name_Marussia,0.0
categorical__constructor_name_Manor Marussia,0.0
categorical__constructor_name_Spyker,0.0
categorical__constructor_name_MF1,0.0
categorical__circuit_name_Circuit Paul Ricard,0.0
categorical__driver_name_Pedro de la Rosa,0.0
categorical__driver_name_Patrick Friesacher,0.0
categorical__driver_name_Rio Haryanto,0.0
categorical__driver_name_Ricardo Zonta,0.0
categorical__driver_name_Ralph Firman,0.0
categorical__driver_name_Stoffel Vandoorne,0.0
categorical__driver_name_Sergey Sirotkin,0.0
categorical__constructor_name_Spyker MF1,0.0
categorical__constructor_name_Super Aguri,0.0
categorical__driver_name_Robert Doornbos,0.0
categorical__driver_name_Scott Speed,0.0
categorical__driver_name_Roberto Merhi,0.0
categorical__circuit_name_Sochi Autodrom,0.0
categorical__driverId_10,0.0
categorical__driver_name_Zsolt Baumgartner,0.0
categorical__driver_name_Yuji Ide,0.0
categorical__driver_name_Will Stevens,0.0
categorical__driver_name_Vitantonio Liuzzi,0.0
categorical__driverId_155,0.0
categorical__driverId_154,0.0
categorical__driverId_153,0.0
categorical__driverId_14,0.0
categorical__driverId_19,0.0
categorical__driverId_20,0.0
categorical__driverId_22,0.0
categorical__driverId_16,0.0
categorical__driverId_24,0.0
categorical__driverId_25,0.0
categorical__driverId_27,0.0
categorical__driverId_26,0.0
categorical__driverId_28,0.0
categorical__driverId_29,0.0
categorical__driverId_31,0.0
categorical__driverId_32,0.0
categorical__driverId_34,0.0
categorical__driverId_35,0.0
categorical__driverId_36,0.0
categorical__driver_name_Pierre Gasly,0.0
categorical__driver_name_Paul di Resta,0.0
categorical__driver_name_Romain Grosjean,0.0
categorical__driver_name_Sakon Yamamoto,0.0
categorical__constructor_name_Haas F1 Team,0.0
categorical__constructor_name_Lotus,0.0
categorical__constructor_name_Jaguar,0.0
categorical__circuitId_71,0.0
categorical__constructor_name_Caterham,0.0
categorical__constructor_name_HRT,0.0
categorical__circuitId_70,0.0
categorical__circuitId_9,0.0
categorical__driver_name_Alexander Rossi,0.0
categorical__driverId_49,0.0
categorical__driverId_48,0.0
categorical__driverId_47,0.0
categorical__driverId_46,0.0
categorical__driverId_45,0.0
categorical__driverId_44,0.0
categorical__driverId_43,0.0
categorical__driverId_42,0.0
categorical__driverId_41,0.0
categorical__driverId_40,0.0
categorical__driverId_39,0.0
categorical__driverId_38,0.0
categorical__driverId_37,0.0
categorical__driverId_53,0.0
categorical__driverId_67,0.0
categorical__driverId_6,0.0
categorical__driver_name_Pascal Wehrlein,0.0
categorical__driver_name_Pastor Maldonado,0.0
categorical__driverId_69,0.0
categorical__driverId_7,0.0
categorical__driverId_808,0.0
categorical__driverId_810,0.0
categorical__driverId_811,0.0
categorical__driverId_51,0.0
categorical__driver_name_Marc Gené,0.0
categorical__driver_name_Marcus Ericsson,0.0
categorical__driver_name_Markus Winkelhock,0.0
categorical__driver_name_Max Chilton,0.0
categorical__driver_name_Narain Karthikeyan,0.0
categorical__driver_name_Nicolas Kiesa,0.0
categorical__driver_name_Olivier Panis,0.0
categorical__driverId_50,0.0
categorical__driverId_821,0.0
categorical__driverId_822,0.0
categorical__driverId_824,0.0
categorical__driverId_823,0.0
categorical__driverId_826,0.0
categorical__driverId_827,0.0
categorical__driverId_828,0.0
categorical__driverId_825,0.0
categorical__driverId_830,0.0
categorical__driverId_831,0.0
categorical__driverId_832,0.0
categorical__driverId_833,0.0
categorical__driverId_834,0.0
categorical__driverId_835,0.0
categorical__driverId_836,0.0
categorical__driverId_829,0.0
categorical__driverId_837,0.0
categorical__driverId_838,0.0
categorical__driverId_840,0.0
categorical__driverId_839,0.0
categorical__driverId_842,0.0
categorical__driverId_843,0.0
categorical__driverId_844,0.0
categorical__driverId_812,0.0
categorical__driverId_813,0.0
categorical__driverId_814,0.0
categorical__driverId_816,0.0
categorical__driverId_817,0.0
categorical__driverId_818,0.0
categorical__driverId_819,0.0
categorical__driverId_820,0.0
categorical__driverId_52,0.0
categorical__constructorId_18,0.0
categorical__constructorId_166,0.0
categorical__constructorId_164,0.0
categorical__constructorId_16,0.0
categorical__constructorId_14,0.0
categorical__constructorId_13,0.0
categorical__constructorId_12,0.0
categorical__driverId_845,0.0
categorical__driverId_841,0.0
categorical__constructorId_23,0.0
categorical__driver_name_Jolyon Palmer,0.0
categorical__constructorId_205,0.0
categorical__constructorId_209,0.0
categorical__constructorId_210,0.0
categorical__driver_name_Jules Bianchi,0.0
categorical__constructorId_19,0.0
categorical__driver_name_Kazuki Nakajima,0.0
categorical__driver_name_Karun Chandhok,0.0
categorical__driver_name_Jérôme d'Ambrosio,0.0
categorical__driver_name_Justin Wilson,0.0
categorical__driver_name_Jos Verstappen,0.0
categorical__driver_name_Lucas di Grassi,0.0
categorical__constructorId_7,0.0
categorical__driver_name_Luca Badoer,0.0
categorical__circuitId_13,0.0
categorical__constructorId_8,0.0
categorical__circuitId_17,0.0
categorical__circuitId_16,0.0
categorical__circuitId_18,0.0
categorical__circuitId_21,0.0
categorical__constructorId_206,0.0
categorical__constructorId_207,0.0
categorical__circuitId_32,0.0
categorical__circuitId_24,0.0
categorical__circuitId_4,0.0
categorical__circuitId_34,0.0
categorical__circuitId_5,0.0
categorical__circuitId_68,0.0
categorical__circuitId_69,0.0
categorical__circuitId_35,0.0
categorical__driver_name_Esteban Gutiérrez,0.0
categorical__driver_name_Esteban Ocon,0.0
categorical__driver_name_Felipe Nasr,0.0
categorical__driver_name_Franck Montagny,0.0
categorical__driver_name_Gianmaria Bruni,0.0
categorical__driver_name_Giedo van der Garde,0.0
categorical__driver_name_Giorgio Pantano,0.0
categorical__driver_name_Jacques Villeneuve,0.0
categorical__driver_name_Jaime Alguersuari,0.0
categorical__driver_name_Jean-Éric Vergne,0.0
categorical__driver_name_Adrian Sutil,0.0
categorical__driver_name_André Lotterer,0.0
categorical__driver_name_Anthony Davidson,0.0
categorical__driver_name_Antonio Giovinazzi,0.0
categorical__driver_name_Antônio Pizzonia,0.0
categorical__driver_name_Brendon Hartley,0.0
categorical__driver_name_Bruno Senna,0.0
categorical__driver_name_Carlos Sainz,0.0
categorical__driver_name_Charles Leclerc,0.0
categorical__driver_name_Charles Pic,0.0
categorical__driver_name_Christian Klien,0.0
categorical__driver_name_Christijan Albers,0.0
categorical__driver_name_Cristiano da Matta,0.0
categorical__driver_name_Daniil Kvyat,0.0
