year,mae_ms,rmse_ms,r2
2022,2650.901736675622,4492.001258790878,0.8700766107082345
2023,2641.929484536992,5334.55717646711,0.7614110023251808
2024,2519.7992595545247,5375.582997107715,0.718658459750021
